run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
5,11,"2023-12-11 18:43:37.937","2023-12-11 18:48:32.645",294,88.38994441976853,-3.194205860244013e31,-1.1270594740502337e33,3.083341702864654e30,443.85990502035276,162,664,1310.990502035278,1266,1362,1832.5193351424696,1321,9583,601.5240841248304,-1068,1078,169,647,15,15,55,NoNose,1
5,12,"2023-12-11 18:48:32.748","2023-12-11 18:53:27.937",295,88.81701352403114,-2.166943091743071e29,-5.756857481855738e34,-3.2730175522946153e34,439.20318320352186,56,620,1310.6071791398579,1250,1368,1839.4910260751778,1323,9991,598.0921097189299,-1320,1183,168,647,15,15,56,NoNose,1
5,13,"2023-12-11 18:53:28.050","2023-12-11 18:58:22.651",294,89.04597298103721,-1.8968393759756435e34,4.474613505119888e28,3.9039638585976343e28,446.54767560230744,122,662,1310.357312521208,1229,1382,1840.862911435358,1325,9917,588.4166949440108,-1299,1257,168,645,15,15,56,NoNose,1
5,14,"2023-12-11 18:58:22.750","2023-12-11 19:03:17.248",294,89.21861355106194,-1.8199592666184634e33,2.2606223447657842e32,-6.041879328948539e27,444.07501697216566,72,638,1309.6866938221317,1255,1362,1824.1765105227428,1300,9993,591.3662593346911,-878,1241,168,645,15,15,56,NoNose,1
5,15,"2023-12-11 19:03:17.354","2023-12-11 19:08:12.071",294,89.3387317588723,9.895766889341481e31,1.4119736035302104e32,-2.208757637474542e34,446.4826883910387,73,629,1310.0349626612356,1231,1374,1831.5468431771894,1304,9956,587.8591310251188,-1348,1295,168,647,15,15,55,NoNose,1
6,1,"2023-12-11 19:15:22.112","2023-12-11 19:20:17.247",295,83.3151786335315,-1.0076728748081166e35,2.2553447346711816e32,7.204097573345841e33,451.1134439552997,71,688,1313.9607179139857,1231,1474,1808.143921435828,1326,9706,576.6132746359634,-1310,1293,173,649,15,15,56,NoNose,1
6,2,"2023-12-11 19:20:17.335","2023-12-11 19:25:12.119",294,85.43183986557219,1.687051641299832e32,1.080295214380521e34,-1.4116049485294537e31,448.06990159484224,138,627,1312.1129962673906,1235,1379,1805.5985748218527,1286,9450,584.6905327451645,-1255,1599,169,647,15,15,55,NoNose,1
6,3,"2023-12-11 19:25:12.120","2023-12-11 19:30:06.972",294,86.60774710625623,1.2647593018535555e34,9.025306440677964e33,4.740035322297616e33,439.9257627118644,121,619,1311.3983050847457,1246,1364,1797.4840677966101,1305,9014,589.5027118644068,-1322,1362,169,650,15,15,56,NoNose,1
6,4,"2023-12-11 19:30:07.176","2023-12-11 19:35:07.960",300,87.40430753395938,4.503204386807282e33,3.350513459621137e32,-2.8265420725911604e34,438.0754403456298,142,747,1309.7720172814888,1239,1362,1795.1213027583915,1312,9462,593.8777002326354,-1207,1311,168,647,15,15,56,NoNose,1
6,5,"2023-12-11 19:35:08.153","2023-12-11 19:40:17.143",308,87.5553400348342,6.377711772315751e33,1.882192785899087e32,-3.6648737048835704e34,445.0637128072445,133,628,1310.9641009055626,1259,1356,1768.0717981888745,1308,9032,588.20957309185,-1407,1399,169,647,15,15,55,NoNose,1
